Verb,Full Sentence,SUBJ,OBJ,Q1: Has Object been hurt or weakened in some way?,Q2: Has Object been helped or supported in some way?,Q3: How do you think that the Object feels about the outcome?,Q4: Do you think that anyone values Object?,Q5: How Object Feels About Subject?,Q6: How do you/reader feel about the outcome?,Q7: How a Reader Feels About Object?,Q8: How a Reader Feels About Subject?,Q9: Has Subject been hurt or weakened in some way?,Q10: Has Subject been helped or supported in some way?,Q11: How do you think that the Subject feels about the outcome?,Q12: Do you think that anyone values Subject?,Q13: How Subject Feels About Object?,Q14: How do you think that the Writer feels about the outcome?,Q15: How the Writer Feels About Object?,Q16: How the Writer Feels About Subject?
represent,the <span style='color:#0000CD'>square</span> <u>represents</u> the <span style='color:#006400'>nation</span>.,square,nation,-1,-1,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0
represent,<span style='color:#0000CD'>membership</span> <u>represents</u> the <span style='color:#006400'>level</span>.,membership,level,-1,1,-0.5,1,-0.5,-0.5,-0.5,-0.5,-1,-1,-0.5,1,-0.5,-0.5,-0.5,-0.5
represent,<span style='color:#0000CD'>membership</span> <u>represents</u> the <span style='color:#006400'>level</span>.,membership,level,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0
represent,the <span style='color:#0000CD'>family</span> <u>represented</u> the <span style='color:#006400'>principle</span>.,family,principle,-1,1,0,1,0,1,1,1,-1,1,1,1,1,1,1,1
represent,the <span style='color:#0000CD'>family</span> <u>represented</u> the <span style='color:#006400'>principle</span>.,family,principle,-1,1,0.5,1,1,0.5,1,1,-1,-1,0.5,1,1,0.5,1,1
represent,a <span style='color:#0000CD'>second</span> <u>represents</u> the <span style='color:#006400'>boy</span>.,second,boy,-1,1,0,1,-0.5,0,0,0,-1,1,-0.5,-1,-0.5,0,-0.5,0
represent,a <span style='color:#0000CD'>second</span> <u>represents</u> the <span style='color:#006400'>boy</span>.,second,boy,-1,1,0.5,1,0.5,0,0.5,0,-1,-1,0,1,0,0,0.5,0
represent,a <span style='color:#0000CD'>second</span> <u>represents</u> the <span style='color:#006400'>boy</span>.,second,boy,-1,1,0,1,0,0.5,0,0,-1,-1,0,-1,0,0.5,0,0
represent,the <span style='color:#0000CD'>child</span> <u>represents</u> a <span style='color:#006400'>mutation</span>.,child,mutation,-1,-1,0,-1,0,-0.5,-0.5,1,1,-1,-0.5,1,-0.5,-0.5,-0.5,1
represent,the <span style='color:#0000CD'>child</span> <u>represents</u> a <span style='color:#006400'>mutation</span>.,child,mutation,-1,-1,0,1,0,-0.5,-0.5,0.5,1,1,-1,1,-0.5,-0.5,-0.5,0.5
represent,the <span style='color:#0000CD'>child</span> <u>represents</u> a <span style='color:#006400'>mutation</span>.,child,mutation,-1,-1,0,-1,0,-1,-1,1,1,-1,-1,1,-1,-1,-1,1
represent,a <span style='color:#0000CD'>wife</span> <u>represents</u> the <span style='color:#006400'>whole</span>.,wife,whole,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
represent,a <span style='color:#0000CD'>wife</span> <u>represents</u> the <span style='color:#006400'>whole</span>.,wife,whole,-1,1,0,1,0,0.5,0.5,0.5,-1,-1,0.5,1,1,0.5,0.5,0.5
represent,a <span style='color:#0000CD'>wife</span> <u>represents</u> the <span style='color:#006400'>whole</span>.,wife,whole,-1,-1,0,-1,0,0,0,0,-1,1,1,1,1,0,0,1
represent,<span style='color:#0000CD'>government</span> <u>represents</u> the <span style='color:#006400'>permanence</span>.,government,permanence,-1,-1,0,-1,0,0,0,0,-1,1,1,1,1,0,0,0
consider,the <span style='color:#0000CD'>author</span> <u>considers</u> the <span style='color:#006400'>state</span>.,author,state,-1,1,0,1,0,0.5,0,0.5,-1,-1,0.5,1,0.5,0.5,0.5,0.5
consider,the <span style='color:#0000CD'>author</span> <u>considers</u> the <span style='color:#006400'>state</span>.,author,state,-1,-1,0,-1,0,0,0.5,0.5,-1,1,0.5,1,0.5,0.5,0.5,0.5
consider,the <span style='color:#0000CD'>author</span> <u>considers</u> the <span style='color:#006400'>state</span>.,author,state,-1,-1,0,1,0,0.5,0,0,-1,-1,0.5,1,0.5,0.5,0,0
consider,the <span style='color:#0000CD'>physician</span> <u>considers</u> the <span style='color:#006400'>treatment</span>.,physician,treatment,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
consider,the <span style='color:#0000CD'>physician</span> <u>considers</u> the <span style='color:#006400'>treatment</span>.,physician,treatment,-1,-1,0,1,0,0,0.5,0.5,-1,-1,0.5,1,0.5,0,0.5,0.5
consider,the <span style='color:#0000CD'>auditor</span> <u>considers</u> the <span style='color:#006400'>following</span>.,auditor,following,-1,1,0,-1,0,0,0,0,-1,-1,0,1,0.5,0,0,0
consider,the <span style='color:#0000CD'>author</span> <u>considers</u> the <span style='color:#006400'>process</span>.,author,process,-1,1,-0.5,1,-0.5,0,0,-0.5,-1,1,0,1,-1,0.5,0,0.5
consider,the <span style='color:#0000CD'>author</span> <u>considers</u> the <span style='color:#006400'>process</span>.,author,process,-1,-1,0,1,0,1,1,1,-1,1,1,1,1,1,1,1
consider,the <span style='color:#0000CD'>author</span> <u>considers</u> the <span style='color:#006400'>process</span>.,author,process,-1,-1,0,1,0,0.5,0.5,0.5,-1,-1,0.5,1,0.5,0.5,0.5,0.5
consider,the <span style='color:#0000CD'>psychologist</span> <u>considers</u> the <span style='color:#006400'>ability</span>.,psychologist,ability,-1,-1,0,-1,1,0.5,-0.5,0.5,1,1,0.5,-1,0.5,0,0,-0.5
consider,the <span style='color:#0000CD'>psychologist</span> <u>considers</u> the <span style='color:#006400'>ability</span>.,psychologist,ability,-1,-1,0,1,0,0,0,0,-1,-1,0.5,1,0.5,0,0,0
consider,the <span style='color:#0000CD'>psychologist</span> <u>considers</u> the <span style='color:#006400'>ability</span>.,psychologist,ability,-1,1,0,1,0,0,0,0,-1,1,0.5,1,0.5,0,0,0
consider,a <span style='color:#0000CD'>man</span> <u>considers</u> <span style='color:#006400'>something</span>.,man,something,-1,-1,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,0
consider,a <span style='color:#0000CD'>man</span> <u>considers</u> <span style='color:#006400'>something</span>.,man,something,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
consider,a <span style='color:#0000CD'>man</span> <u>considers</u> <span style='color:#006400'>something</span>.,man,something,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
broaden,the <span style='color:#0000CD'>government</span> <u>broadened</u> the <span style='color:#006400'>base</span>.,government,base,-1,1,0,1,0.5,0,0,0,-1,-1,0.5,1,0.5,0,0,0
broaden,the <span style='color:#0000CD'>government</span> <u>broadened</u> the <span style='color:#006400'>base</span>.,government,base,-1,1,0,1,0,0.5,0.5,0.5,-1,1,0.5,1,0.5,0.5,0.5,0.5
broaden,<span style='color:#0000CD'>activity</span> <u>broadens</u> the <span style='color:#006400'>base</span>.,activity,base,-1,1,0.5,1,0.5,0.5,0.5,0.5,-1,1,0.5,1,0.5,0,0,0
broaden,<span style='color:#0000CD'>activity</span> <u>broadens</u> the <span style='color:#006400'>base</span>.,activity,base,-1,1,0,1,0,0.5,1,1,-1,-1,0,1,0,0.5,1,1
broaden,<span style='color:#0000CD'>activity</span> <u>broadens</u> the <span style='color:#006400'>base</span>.,activity,base,-1,1,0,-1,0,-0.5,0.5,-1,1,1,-0.5,1,0.5,0,-0.5,-1
broaden,this <span style='color:#0000CD'>view</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,view,scope,-1,1,0,1,0,0.5,0.5,0.5,-1,-1,0,1,0,0.5,0.5,0.5
broaden,this <span style='color:#0000CD'>view</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,view,scope,-1,1,0.5,1,1,0.5,1,1,-1,1,0.5,1,1,0.5,1,1
broaden,this <span style='color:#0000CD'>view</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,view,scope,-1,1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
broaden,<span style='color:#0000CD'>time</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,time,scope,-1,-1,0,1,0,0,0,0.5,-1,-1,0,1,0,0,0,0
broaden,<span style='color:#0000CD'>time</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,time,scope,-1,-1,0,-1,0,0,0,0.5,-1,-1,0,1,0,0,0,0.5
broaden,this <span style='color:#0000CD'>approach</span> <u>broadens</u> the <span style='color:#006400'>range</span>.,approach,range,-1,1,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0
broaden,this <span style='color:#0000CD'>approach</span> <u>broadens</u> the <span style='color:#006400'>range</span>.,approach,range,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,1,0.5,0.5
broaden,this <span style='color:#0000CD'>definition</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,definition,scope,-1,1,0,1,0,1,1,1,-1,-1,0,1,0,1,1,1
broaden,this <span style='color:#0000CD'>definition</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,definition,scope,-1,1,0,1,0,1,0.5,0,-1,-1,0,1,0,1,0.5,0
broaden,this <span style='color:#0000CD'>definition</span> <u>broadens</u> the <span style='color:#006400'>scope</span>.,definition,scope,-1,-1,0,-1,-0.5,0,-0.5,-0.5,-1,-1,0,-1,-0.5,0,-0.5,-0.5
lack,the <span style='color:#0000CD'>man</span> <u>lacked</u> <span style='color:#006400'>thing</span>.,man,thing,-1,-1,0,1,0,0,1,-0.5,1,-1,-1,-1,1,0,1,-0.5
lack,the <span style='color:#0000CD'>man</span> <u>lacked</u> <span style='color:#006400'>thing</span>.,man,thing,-1,-1,0,1,0,0,0,0,1,-1,-0.5,1,0.5,0,0,0
lack,the <span style='color:#0000CD'>man</span> <u>lacked</u> <span style='color:#006400'>thing</span>.,man,thing,-1,-1,0,1,0,-0.5,0,0.5,1,-1,-1,1,0,-0.5,0,0.5
lack,<span style='color:#0000CD'>man</span> <u>lacked</u> a <span style='color:#006400'>sense</span>.,man,sense,-1,-1,0,1,0,0,0,0,1,-1,0,-1,0,0,0,0
lack,<span style='color:#0000CD'>man</span> <u>lacked</u> a <span style='color:#006400'>sense</span>.,man,sense,-1,-1,0,1,0,-0.5,0,-0.5,1,-1,-0.5,1,0.5,-0.5,0,-0.5
lack,<span style='color:#0000CD'>man</span> <u>lacked</u> a <span style='color:#006400'>sense</span>.,man,sense,-1,-1,0,-1,0,-1,0,0,1,-1,-1,1,0,-1,0,0
lack,<span style='color:#0000CD'>man</span> <u>lacked</u> the <span style='color:#006400'>conception</span>.,man,conception,-1,-1,0,1,0,-1,0,0,-1,-1,-1,1,0,-1,0,0
lack,<span style='color:#0000CD'>man</span> <u>lacked</u> the <span style='color:#006400'>conception</span>.,man,conception,-1,-1,0,-1,0,0,0,0,1,-1,-0.5,1,0,0,0,0
lack,an <span style='color:#0000CD'>author</span> has <u>lacked</u> the <span style='color:#006400'>imagination</span>.,author,imagination,-1,-1,0,1,0,-1,0.5,-0.5,1,-1,-1,1,-0.5,0,0,-0.5
lack,an <span style='color:#0000CD'>author</span> has <u>lacked</u> the <span style='color:#006400'>imagination</span>.,author,imagination,-1,-1,0,1,0,-0.5,0.5,0,-1,-1,-0.5,-1,-0.5,-0.5,0.5,0
lack,the <span style='color:#0000CD'>infant</span> <u>lacks</u> the <span style='color:#006400'>capacity</span>.,infant,capacity,-1,-1,0,1,0,0,1,1,-1,-1,0,1,0,0,1,1
lack,the <span style='color:#0000CD'>infant</span> <u>lacks</u> the <span style='color:#006400'>capacity</span>.,infant,capacity,1,-1,0,1,0,0,0,-0.5,1,-1,-0.5,-1,-0.5,-0.5,-0.5,-0.5
lack,the <span style='color:#0000CD'>child</span> <u>lacks</u> the <span style='color:#006400'>equipment</span>.,child,equipment,-1,-1,0,1,0,-1,1,1,-1,-1,-1,1,1,-1,1,1
lack,the <span style='color:#0000CD'>child</span> <u>lacks</u> the <span style='color:#006400'>equipment</span>.,child,equipment,-1,-1,0,1,0,-1,0,-1,1,-1,-1,-1,-1,0,0,0
lack,the <span style='color:#0000CD'>child</span> <u>lacks</u> the <span style='color:#006400'>equipment</span>.,child,equipment,-1,-1,0,1,0,-1,-1,0.5,1,-1,-1,1,-1,-1,0,0.5
focus,the <span style='color:#0000CD'>teacher</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,teacher,attention,-1,1,0,1,0,1,0.5,0.5,-1,-1,1,1,1,0.5,0.5,0.5
focus,the <span style='color:#0000CD'>teacher</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,teacher,attention,-1,-1,0,-1,0,0,0.5,0,-1,-1,0.5,1,0.5,0,0.5,0
focus,the <span style='color:#0000CD'>teacher</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,teacher,attention,-1,1,0,1,0,0,0,0,-1,-1,0.5,1,0.5,0,0,0
focus,<span style='color:#0000CD'>culture</span> <u>focuses</u> <span style='color:#006400'>attention</span>.,culture,attention,-1,1,0,1,0,1,1,1,-1,-1,0,1,0,1,1,1
focus,<span style='color:#0000CD'>culture</span> <u>focuses</u> <span style='color:#006400'>attention</span>.,culture,attention,-1,1,0,1,0,0.5,0.5,0.5,-1,1,0,1,0,0,0.5,0.5
focus,the <span style='color:#0000CD'>author</span> <u>focused</u> <span style='color:#006400'>attention</span>.,author,attention,-1,1,0,1,0,0,0.5,0.5,-1,-1,0.5,1,0,0,0.5,0.5
focus,the <span style='color:#0000CD'>nurse</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,nurse,attention,-1,1,0,1,0,1,1,1,-1,-1,1,1,1,1,1,1
focus,the <span style='color:#0000CD'>nurse</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,nurse,attention,-1,-1,0,1,0,1,1,1,-1,1,1,1,1,1,1,1
focus,the <span style='color:#0000CD'>nurse</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,nurse,attention,-1,1,0,1,0,1,1,1,-1,-1,1,1,1,1,1,1
focus,the <span style='color:#0000CD'>therapist</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,therapist,attention,-1,1,0,1,0,0.5,0.5,0.5,-1,-1,0.5,1,0.5,0.5,0.5,0
focus,the <span style='color:#0000CD'>therapist</span> will <u>focus</u> <span style='color:#006400'>attention</span>.,therapist,attention,-1,-1,0,-1,0,0,0,0.5,-1,-1,1,1,0.5,0,0,0.5
focus,<span style='color:#0000CD'>family</span> <u>focused</u> <span style='color:#006400'>care</span>.,family,care,-1,-1,0,1,0,0.5,0.5,0.5,-1,-1,0,1,0,0.5,0.5,0.5
focus,<span style='color:#0000CD'>family</span> <u>focused</u> <span style='color:#006400'>care</span>.,family,care,-1,1,0,1,0,0.5,0.5,0.5,-1,-1,0.5,1,0.5,0.5,0.5,0.5
focus,<span style='color:#0000CD'>family</span> <u>focused</u> <span style='color:#006400'>care</span>.,family,care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
focus,<span style='color:#0000CD'>family</span> <u>focused</u> <span style='color:#006400'>care</span>.,family,care,-1,-1,0,1,0,0.5,0.5,0.5,-1,1,1,1,1,0.5,0.5,0.5
soften,when <span style='color:#0000CD'>culture</span> has <u>softened</u> <span style='color:#006400'>them</span>.,culture,them,1,-1,0,1,-0.5,0,0,0.5,-1,-1,0,1,0,0,0,0.5
soften,when <span style='color:#0000CD'>culture</span> has <u>softened</u> <span style='color:#006400'>them</span>.,culture,them,1,1,0,1,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5
soften,her <span style='color:#0000CD'>tone</span> <u>softened</u> her <span style='color:#006400'>harshness</span>.,tone,harshness,1,-1,0,-1,0,-0.5,-0.5,0,1,1,0,1,0,-0.5,-0.5,0
soften,her <span style='color:#0000CD'>tone</span> <u>softened</u> her <span style='color:#006400'>harshness</span>.,tone,harshness,-1,-1,0,-1,0,1,-1,0.5,-1,1,0,1,0,1,-1,0.5
soften,<span style='color:#0000CD'>time</span> has <u>softened</u> <span style='color:#006400'>them</span>.,time,them,-1,1,0,1,0,0,0,0,-1,-1,-1,-1,0.5,0.5,-1,0
soften,<span style='color:#0000CD'>time</span> has <u>softened</u> <span style='color:#006400'>them</span>.,time,them,-1,1,0,1,0.5,0,0,0,-1,-1,0,1,0,0,0,0
soften,<span style='color:#0000CD'>use</span> <u>softened</u> <span style='color:#006400'>water</span>.,use,water,-1,1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
soften,<span style='color:#0000CD'>use</span> <u>softened</u> <span style='color:#006400'>water</span>.,use,water,1,-1,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0
soften,<span style='color:#0000CD'>cream</span> <u>softened</u> <span style='color:#006400'>butter</span>.,cream,butter,-1,-1,0,1,0,0.5,0.5,0.5,-1,1,0,1,0,0.5,0.5,0.5
soften,<span style='color:#0000CD'>cream</span> <u>softened</u> <span style='color:#006400'>butter</span>.,cream,butter,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0
soften,<span style='color:#0000CD'>cream</span> <u>softened</u> <span style='color:#006400'>butter</span>.,cream,butter,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
soften,<span style='color:#0000CD'>cream</span> <u>soften</u> <span style='color:#006400'>gelatin</span>.,cream,gelatin,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
soften,<span style='color:#0000CD'>cream</span> <u>soften</u> <span style='color:#006400'>gelatin</span>.,cream,gelatin,-1,1,0,1,0,0.5,0,0.5,-1,-1,0,1,0,0.5,0.5,0.5
soften,<span style='color:#0000CD'>butter</span> <u>softened</u> <span style='color:#006400'>c</span>.,butter,c,-1,-1,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,0
soften,<span style='color:#0000CD'>butter</span> <u>softened</u> <span style='color:#006400'>c</span>.,butter,c,-1,-1,0,-1,0,0,0,0.5,-1,-1,0,1,0,0,0,0.5
sleep,the <span style='color:#0000CD'>baby</span> <u>sleeps</u> <span style='color:#006400'>sound</span>.,baby,sound,-1,1,0,1,0,0.5,0.5,0.5,-1,1,0,1,0.5,0.5,0.5,0.5
sleep,the <span style='color:#0000CD'>baby</span> <u>sleeps</u> <span style='color:#006400'>sound</span>.,baby,sound,-1,-1,0,1,0,1,1,1,-1,1,0.5,1,0,1,1,1
sleep,a <span style='color:#0000CD'>baby</span> <u>sleeps</u> the <span style='color:#006400'>time</span>.,baby,time,-1,-1,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,0
sleep,a <span style='color:#0000CD'>baby</span> <u>sleeps</u> the <span style='color:#006400'>time</span>.,baby,time,-1,-1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1
sleep,a <span style='color:#0000CD'>baby</span> <u>sleeps</u> the <span style='color:#006400'>time</span>.,baby,time,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0
sleep,the <span style='color:#0000CD'>child</span> will <u>sleep</u> a <span style='color:#006400'>part</span>.,child,part,1,-1,0,-1,0,0,0,0,-1,1,0.5,-1,0,0,0,0
sleep,the <span style='color:#0000CD'>child</span> will <u>sleep</u> a <span style='color:#006400'>part</span>.,child,part,-1,-1,0,-1,0,1,0,1,1,-1,-1,1,-1,1,-1,1
sleep,this <span style='color:#0000CD'>man</span> <u>slept</u> <span style='color:#006400'>something</span>.,man,something,1,-1,0,1,0,0,0.5,0,-1,-1,-0.5,1,0,0.5,-0.5,0.5
sleep,this <span style='color:#0000CD'>man</span> <u>slept</u> <span style='color:#006400'>something</span>.,man,something,-1,-1,0,1,0,0,0,0,-1,1,1,1,1,0,0,0
sleep,<span style='color:#0000CD'>calm</span> <u>slept</u> the <span style='color:#006400'>child</span>.,calm,child,-1,-1,0.5,1,0,1,1,0,-1,-1,0,-1,0,1,1,0
sleep,<span style='color:#0000CD'>calm</span> <u>slept</u> the <span style='color:#006400'>child</span>.,calm,child,-1,1,0.5,1,0.5,0.5,0.5,0.5,-1,-1,0,1,0,0.5,0.5,0.5
sleep,the <span style='color:#0000CD'>child</span> <u>slept</u> that <span style='color:#006400'>night</span>.,child,night,-1,-1,0,1,0,1,0,0.5,-1,1,1,1,0,1,0,1
sleep,the <span style='color:#0000CD'>child</span> <u>slept</u> that <span style='color:#006400'>night</span>.,child,night,-1,-1,0,-1,0,0.5,0,0.5,-1,1,1,1,-0.5,0,0,0.5
sleep,the <span style='color:#0000CD'>child</span> <u>slept</u> that <span style='color:#006400'>night</span>.,child,night,-1,-1,0,1,0,1,1,1,-1,1,1,1,0.5,1,1,1
sleep,the <span style='color:#0000CD'>child</span> <u>sleeps</u> <span style='color:#006400'>yonder</span>.,child,yonder,-1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1
go,the <span style='color:#0000CD'>king</span> <u>went</u> a <span style='color:#006400'>way</span>.,king,way,-1,-1,0,-1,0,0,0,1,-1,-1,0,1,0,0,0,1
go,the <span style='color:#0000CD'>king</span> <u>went</u> a <span style='color:#006400'>way</span>.,king,way,-1,-1,0,-1,0,0,0,0,-1,-1,-0.5,1,0,0,0,0
go,the <span style='color:#0000CD'>author</span> <u>went</u> the <span style='color:#006400'>way</span>.,author,way,-1,-1,0,1,0,0.5,0.5,0.5,-1,-1,0.5,1,0.5,0.5,0.5,0.5
go,the <span style='color:#0000CD'>author</span> <u>went</u> the <span style='color:#006400'>way</span>.,author,way,-1,-1,0,-1,0,0.5,0,0.5,-1,-1,0.5,1,0.5,0.5,0,0.5
go,the <span style='color:#0000CD'>author</span> <u>went</u> the <span style='color:#006400'>way</span>.,author,way,-1,-1,0,-1,0,0,0,0.5,-1,-1,0,1,0,0,0,0
go,her <span style='color:#0000CD'>husband</span> <u>went</u> the <span style='color:#006400'>way</span>.,husband,way,-1,-1,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,0
go,her <span style='color:#0000CD'>husband</span> <u>went</u> the <span style='color:#006400'>way</span>.,husband,way,-1,-1,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,0
go,her <span style='color:#0000CD'>husband</span> <u>went</u> the <span style='color:#006400'>way</span>.,husband,way,-1,1,1,1,1,0,0,0,-1,1,1,1,1,0,0,0
go,<span style='color:#0000CD'>away</span> <u>went</u> the <span style='color:#006400'>woman</span>.,away,woman,-1,-1,0,1,0,0,0.5,0,-1,-1,0,-1,0,0,0.5,0
